year,home_team,away_team,home_points,away_points,neutral,home_avg_rank,home_avg_points,away_avg_rank,away_avg_points,home_ppa_return,home_usage_return,away_ppa_return,away_usage_return,rank_diff,points_diff,ppa_return_diff,usage_return_diff,home_win
2014,Georgia,Vanderbilt,44,17,0,9.75,268.0,43.0,189.4675,0.513,0.528,0.081,0.429,33.25,78.5325,0.432,0.09900000000000003,1
2014,Kansas State,Texas Tech,45,13,0,66.0,156.14499999999998,32.5,210.18,0.743,0.506,0.46,0.56,-33.5,-54.035000000000025,0.283,-0.05400000000000005,1
2014,Auburn,LSU,41,7,0,8.0,271.8725,9.0,268.5225,0.807,0.68,0.118,0.25,1.0,3.3500000000000227,0.6890000000000001,0.43000000000000005,1
2014,Rutgers,Michigan,26,24,0,38.5,199.75,14.25,253.14,0.566,0.792,0.658,0.696,-24.25,-53.389999999999986,-0.09200000000000008,0.09600000000000009,1
2014,Virginia,Pittsburgh,24,19,0,37.75,204.2025,42.0,189.39,0.748,0.926,0.494,0.548,4.25,14.8125,0.254,0.378,1
2014,Kentucky,South Carolina,45,38,0,42.25,189.77,21.5,231.815,0.537,0.525,0.533,0.57,-20.75,-42.04499999999999,0.0040000000000000036,-0.04499999999999993,1
2014,Georgia Tech,Miami,28,17,0,52.25,177.20250000000001,17.75,241.70499999999998,0.441,0.367,0.408,0.456,-34.5,-64.50249999999997,0.03300000000000003,-0.08900000000000002,1
2014,Michigan State,Nebraska,27,22,0,31.25,207.28000000000003,24.0,224.9475,1.016,0.969,0.556,0.666,-7.25,-17.66749999999996,0.45999999999999996,0.30299999999999994,1
2014,UCLA,Utah,28,30,0,20.0,240.03500000000003,41.25,192.6225,0.912,0.882,0.66,0.68,21.25,47.41250000000002,0.252,0.20199999999999996,0
2014,UCF,BYU,31,24,0,69.75,150.095,59.75,164.1775,0.442,0.334,0.552,0.861,-10.0,-14.08250000000001,-0.11000000000000004,-0.5269999999999999,1
2014,Missouri,Georgia,0,34,0,38.25,197.3425,9.75,268.0,0.312,0.373,0.513,0.528,-28.5,-70.6575,-0.201,-0.15500000000000003,0
2014,Wisconsin,Illinois,38,28,0,48.75,180.06000000000003,53.0,175.60750000000002,0.468,0.617,0.262,0.387,4.25,4.452500000000015,0.20600000000000002,0.22999999999999998,1
2014,Minnesota,Northwestern,24,17,0,58.75,166.6825,59.0,170.21,0.624,0.652,0.742,0.647,0.25,-3.5275000000000034,-0.118,0.0050000000000000044,1
2014,Miami,Cincinnati,55,34,0,17.75,241.70499999999998,53.5,175.1425,0.408,0.456,0.402,0.44,35.75,66.56249999999997,0.00599999999999995,0.016000000000000014,1
2014,Texas Tech,West Virginia,34,37,0,32.5,210.18,37.25,194.9325,0.46,0.56,0.704,0.683,4.75,15.247500000000002,-0.24399999999999994,-0.123,0
2014,Iowa,Indiana,45,29,0,39.5,197.455,57.75,172.2175,0.825,0.952,0.446,0.546,18.25,25.23750000000001,0.37899999999999995,0.4059999999999999,1
2014,Oklahoma,Texas,31,26,1,11.5,259.34499999999997,6.25,282.69,0.585,0.522,0.538,0.565,-5.25,-23.345000000000027,0.04699999999999993,-0.04299999999999993,1
2014,Syracuse,Florida State,20,38,0,63.0,162.57999999999998,6.25,280.31,0.886,0.593,0.617,0.621,-56.75,-117.73000000000002,0.269,-0.028000000000000025,0
2014,Georgia Tech,Duke,25,31,0,52.25,177.20250000000001,67.25,158.78000000000003,0.441,0.367,0.782,0.728,15.0,18.422499999999985,-0.341,-0.361,0
2014,Baylor,TCU,61,58,0,34.25,201.98499999999999,34.75,203.44000000000003,0.822,0.738,0.565,0.592,0.5,-1.455000000000041,0.257,0.14600000000000002,1
2014,Notre Dame,North Carolina,50,43,0,11.5,261.57,27.5,215.38500000000002,0.457,0.627,0.492,0.628,16.0,46.184999999999974,-0.034999999999999976,-0.0010000000000000009,1
2014,Purdue,Michigan State,31,45,0,59.5,166.63500000000002,31.25,207.28000000000003,0.862,0.748,1.016,0.969,-28.25,-40.64500000000001,-0.15400000000000003,-0.22099999999999997,0
2014,Mississippi State,Auburn,38,23,0,29.25,208.1175,8.0,271.8725,0.91,0.737,0.807,0.68,-21.25,-63.754999999999995,0.10299999999999998,0.05699999999999994,1
2014,UCLA,Oregon,30,42,0,20.0,240.03500000000003,14.25,246.595,0.912,0.882,0.707,0.807,-5.75,-6.559999999999974,0.20500000000000007,0.07499999999999996,0
2014,Clemson,Louisville,23,17,0,18.0,244.79,38.0,198.47750000000002,0.288,0.288,0.378,0.373,20.0,46.31249999999997,-0.09000000000000002,-0.08500000000000002,1
2014,NC State,Boston College,14,30,0,54.25,174.33,59.75,163.5025,0.24,0.337,0.199,0.181,5.5,10.827500000000015,0.04099999999999998,0.15600000000000003,0
2014,Kansas,Oklahoma State,20,27,0,58.5,166.255,29.0,209.81500000000003,0.77,0.322,0.431,0.472,-29.5,-43.56000000000003,0.339,-0.14999999999999997,0
2014,Arkansas,Alabama,13,14,0,28.0,217.03750000000002,1.75,303.83,0.667,0.856,0.574,0.589,-26.25,-86.79249999999996,0.09300000000000008,0.267,0
2014,Michigan,Penn State,18,13,0,14.25,253.14,31.0,209.84,0.658,0.696,0.539,0.85,16.75,43.29999999999998,0.119,-0.15400000000000003,1
2014,Florida,LSU,27,30,0,4.5,291.255,9.0,268.5225,0.436,0.639,0.118,0.25,4.5,22.732500000000016,0.318,0.389,0
2014,Texas A&M,Ole Miss,20,35,0,18.75,237.70999999999998,25.0,229.08999999999997,0.227,0.28,0.625,0.749,6.25,8.620000000000005,-0.398,-0.469,0
2014,Pittsburgh,Virginia Tech,21,16,0,42.0,189.39,26.25,214.815,0.494,0.548,0.555,0.459,-15.75,-25.42500000000001,-0.061000000000000054,0.08900000000000002,1
2014,Wake Forest,Syracuse,7,30,0,65.0,158.10999999999999,63.0,162.57999999999998,0.243,0.251,0.886,0.593,-2.0,-4.469999999999999,-0.643,-0.34199999999999997,0
2014,Maryland,Iowa,38,31,0,41.0,191.6775,39.5,197.455,0.879,0.946,0.825,0.952,-1.5,-5.777500000000003,0.05400000000000005,-0.006000000000000005,1
2014,West Virginia,Baylor,41,27,0,37.25,194.9325,34.25,201.98499999999999,0.704,0.683,0.822,0.738,-3.0,-7.052499999999981,-0.118,-0.05499999999999994,1
2014,Minnesota,Purdue,39,38,0,58.75,166.6825,59.5,166.63500000000002,0.624,0.652,0.862,0.748,0.75,0.04749999999998522,-0.238,-0.09599999999999997,1
2014,Oklahoma,Kansas State,30,31,0,11.5,259.34499999999997,66.0,156.14499999999998,0.585,0.522,0.743,0.506,54.5,103.19999999999999,-0.15800000000000003,0.016000000000000014,0
2014,Duke,Virginia,20,13,0,67.25,158.78000000000003,37.75,204.2025,0.782,0.728,0.748,0.926,-29.5,-45.42249999999996,0.03400000000000003,-0.19800000000000006,1
