year,home_team,away_team,home_points,away_points,spread,model_home_win_prob,model_pick_home,vegas_pick_home,model_correct,home_win
2022,Georgia Tech,Ole Miss,0,42,17.0,0.6430037595311565,1,0,0,0
2022,Virginia Tech,Boston College,27,10,-3.0,0.4918725624947109,0,1,0,1
2022,Stanford,USC,28,41,9.5,0.5938510241490382,1,0,0,0
2022,West Virginia,Kansas,42,55,-14.0,0.453551352236025,0,1,1,0
2022,Illinois,Virginia,24,3,-4.0,0.4169290951658972,0,1,0,1
2022,Arkansas,South Carolina,44,30,-8.5,0.4964276313803213,0,1,0,1
2022,Vanderbilt,Wake Forest,25,45,13.5,0.5385402355728497,1,0,0,0
2022,Syracuse,Louisville,31,7,6.0,0.523953790004347,1,0,1,1
2022,Florida,Utah,29,26,2.5,0.6559210400128461,1,0,1,1
2022,Baylor,Kansas,35,23,-10.5,0.4557580312769441,0,1,0,1
2022,Ole Miss,Kentucky,22,19,-6.5,0.4194003509677785,0,1,0,1
2022,Kansas,Iowa State,14,11,3.5,0.6394082482973481,1,0,1,1
2022,UCF,Louisville,14,20,-5.5,0.49225301197964244,0,1,1,0
2022,Mississippi State,Texas A&M,42,24,-4.0,0.2861024785788899,0,1,0,1
2022,Baylor,Oklahoma State,25,36,-2.5,0.33690581822714755,0,1,1,0
2022,Syracuse,NC State,24,9,-3.0,0.45439973248324245,0,1,0,1
2022,Ole Miss,Auburn,48,34,-15.5,0.29907184055217156,0,1,0,1
2022,West Virginia,Baylor,43,40,3.0,0.5467915498847666,1,0,1,1
2022,NC State,Florida State,19,17,-3.5,0.4043035464993607,0,1,0,1
2022,Illinois,Iowa,9,6,-3.5,0.34254887530064143,0,1,0,1
2022,Kentucky,South Carolina,14,24,-4.5,0.4668981482360542,0,1,1,0
2022,Iowa State,Kansas State,9,10,1.0,0.5054723513539447,1,0,0,0
2022,BYU,Arkansas,35,52,-1.0,0.3668724385519664,0,1,1,0
2022,Georgia Tech,Duke,23,20,3.5,0.6803273568472967,1,0,1,1
2022,Duke,Virginia,38,17,-2.0,0.3904912150513607,0,1,0,1
2022,Pittsburgh,Georgia Tech,21,26,-21.5,0.42592717543686454,0,1,1,0
2022,Rutgers,Nebraska,13,14,3.0,0.508102890585005,1,0,0,0
2022,Florida,LSU,35,45,-2.0,0.42642648398169053,0,1,1,0
2022,Mississippi State,Arkansas,40,17,-8.5,0.49822257690342076,0,1,0,1
2022,UCLA,Utah,42,32,3.0,0.5067438193781214,1,0,1,1
2022,LSU,Tennessee,13,40,2.5,0.6189756175731471,1,0,0,0
2023,Stanford,UCLA,7,42,17.0,0.6798169674006369,1,0,0,0
2023,UCF,Oklahoma State,45,3,2.0,0.5849612819170064,1,0,1,1
2023,Kansas State,Baylor,59,25,-21.0,0.45170807611238706,0,1,0,1
2023,Illinois,Indiana,48,45,-4.5,0.4785879133594616,0,1,0,1
2023,USC,Washington,42,52,3.5,0.5366925042082259,1,0,0,0
2023,Mississippi State,Kentucky,3,24,5.5,0.5866499230545721,1,0,0,0
2023,Louisville,Virginia Tech,34,3,-10.0,0.3866622183244073,0,1,0,1
2023,Northwestern,Iowa,7,10,5.5,0.583684931388241,1,0,0,0
2023,Clemson,Notre Dame,31,23,2.5,0.6961286983975397,1,0,1,1
2023,Auburn,Ole Miss,21,28,6.5,0.6852893391296228,1,0,0,0
2023,Louisville,Duke,23,0,-4.5,0.341722247404688,0,1,0,1
2023,Baylor,Iowa State,18,30,3.0,0.5625163871797196,1,0,0,0
2023,Nebraska,Purdue,31,14,1.5,0.5730374575620998,1,0,1,1
2023,Syracuse,Pittsburgh,28,13,3.0,0.6680522008212038,1,0,1,1
